link_name,group
link_1583,4
link_1589,5
link_1590,4
link_1591,13
link_1592,13
link_1593,10
link_1599,5
link_1600,14
link_1601,4
link_1602,4
link_1603,14
link_1608,3
link_1609,13
link_1610,13
link_1611,13
link_1612,10
link_1613,4
link_1619,5
link_1621,13
link_1623,3
link_1629,4
link_1646,13
link_1647,13
link_1652,13
link_1653,13
link_1655,3
link_1656,13
link_1657,3
link_1658,13
link_1659,3
link_1660,13
link_1661,13
link_1662,13
link_1666,13
link_1667,13
link_1668,5
link_1674,3
link_1679,13
link_1688,13
link_1690,13
link_1691,13
link_1704,3
link_1707,4
link_1708,4
link_1709,4
link_1725,5
link_1726,5
link_1727,13
link_1728,13
link_1729,3
link_1730,13
link_1735,3
link_1736,4
link_1737,10
link_1738,13
link_1739,13
link_1741,4
link_1742,3
link_1758,3
link_1759,13
link_1761,13
link_1767,4
link_1768,13
link_1775,10
link_1783,3
link_1787,12
link_1788,10
link_1789,10
link_1790,10
link_1791,10
link_1792,4
link_1796,13
link_1797,13
link_1798,13
link_1799,13
link_1801,13
link_1802,13
link_1803,10
link_1804,13
link_1805,13
link_1806,13
link_1807,13
link_1808,13
link_1816,3
link_1817,3
link_1818,13
link_1819,3
link_1831,10
link_1832,5
link_1833,3
link_1835,10
link_1836,10
link_1837,3
link_1839,5
link_1842,5
link_1843,10
link_1844,10
link_1845,10
link_1846,10
link_1847,10
link_1850,13
link_1852,10
link_1853,13
link_1854,10
link_1855,13
link_1856,13
link_1863,13
link_1865,10
link_1866,10
link_1867,13
link_1868,13
link_1870,10
link_1904,12
link_1905,12
link_1906,12
link_1917,12
link_1918,12
link_1919,3
link_1920,10
link_1921,10
link_1922,3
link_1923,12
link_1924,3
link_1925,10
link_1926,10
link_1927,10
link_1928,10
link_1929,10
link_1930,10
link_1931,10
link_1932,10
link_1933,10
link_1934,10
link_1935,3
link_1936,10
link_1937,10
link_1938,3
link_1939,3
link_1940,3
link_1941,3
link_1942,3
link_1943,10
link_1944,10
link_1945,10
link_1946,10
link_1947,10
link_1948,10
link_1949,10
link_1950,5
link_1951,10
link_1952,10
link_1953,10
link_1954,10
link_1955,10
link_1956,10
link_1957,10
link_1958,10
link_1959,10
link_1960,10
link_1961,10
link_2012,10
link_2013,10
link_2016,10
link_2017,10
link_2018,10
link_2019,10
link_2020,10
link_2021,3
link_2022,3
link_2023,3
link_2024,3
link_2025,3
link_2026,3
link_2027,10
link_2028,10
link_2029,10
link_2030,10
link_2031,10
link_2032,10
link_2033,10
link_2034,10
link_2035,10
link_2036,10
link_2037,10
link_2038,10
link_2039,3
link_2040,3
link_2041,3
link_2042,2
link_2043,2
link_2044,2
link_2045,2
link_2046,2
link_2047,2
link_2071,1
link_2072,1
link_2073,1
link_2074,1
link_2075,1
link_2076,1
link_2077,1
link_2078,1
link_2079,1
link_2080,1
link_2081,1
link_2082,1
link_2083,1
